Comment,Designator,Footprint,LCSC
100nF,"C2,C4",C_0603_1608Metric,C14663
10K,"R1,R10,R2,R3,R4,R5,R6",R_1206_3216Metric,C17902
130,"R11,R12,R13,R7,R8,R9",R_0603_1608Metric,C22808
LED,D3,LED_0805_2012Metric,C2286
LED,D2,LED_0805_2012Metric,C2296
LED,D1,LED_0603_1608Metric,C2297
Q_NMOS_GDS,"Q1,Q2,Q3,Q4,Q5,Q6",TO-252-2,C3010
Conn_01x02,"AC24-IN1,J1,J2,J3,J4,J5,J6,SENSOR1",JWT_A3963_1x02_P3.96mm_Vertical,C3031444
SW_SPST,RST_SW1,SW_SPST_TL3342,C318884
ESP32-WROOM-32U,U2,ESP32-WROOM-32U,C328062
L,L1,L_12x12mm_H8mm,C339951
LM2596S-5,U1,TO-263-5_TabPin3,C347421
SANYOU_SRD_Form_C,"K1,K2,K3,K4,K5,K6",Relay_SPDT_SANYOU_SRD_Series_Form_C,C35449
10uF,"C1,C3,C7,C8",C_0805_2012Metric,C440198
C_Polarized,"C5,C6",CP_Radial_D10.0mm_P5.00mm,C461457
900mV@2A 30ns 2A 50V DO-214AA Diodes ,"D4,D6,D7,D8",D_SMB,C5224093
AP1117-33,U3,SOT-223-3_TabPin2,C6186
R_Potentiometer_Small,RV1,Potentiometer_Bourns_3296Y_Vertical,C780118
75V 400mW Single 1V@50mA 4ns 150mA SOD-123 Switching Diode ROHS,"D10,D11,D12,D13,D14,D9",D_SOD-123,C81598
B140-E3,D5,D_SMA,C968568
Conn_01x04_Pin,EXT1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
Conn_01x04_Pin,LED1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
Conn_01x04_Pin,POWER1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
Conn_01x04_Pin,PROG1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
