Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AC24-IN1,Conn_01x02,JWT_A3963_1x02_P3.96mm_Vertical,57.235164,-62.254792,90.0,top
AC24-IN1,Conn_01x02,JWT_A3963_1x02_P3.96mm_Vertical,57.229617,-20.644476,90.0,top
AC24-IN1,Conn_01x02,JWT_A3963_1x02_P3.96mm_Vertical,13.2675,24.896,0.0,top
C1,10uF,C_0805_2012Metric,33.117563,-48.495374,90.0,top
C1,10uF,C_0805_2012Metric,33.112016,-6.885058,90.0,top
C1,10uF,C_0805_2012Metric,78.7769,38.0618,90.0,top
C2,100nF,C_0603_1608Metric,31.213563,-48.495374,90.0,top
C2,100nF,C_0603_1608Metric,31.208016,-6.885058,90.0,top
C2,100nF,C_0603_1608Metric,80.6853,37.3247,90.0,top
C3,10uF,C_0805_2012Metric,38.940463,-48.495374,90.0,top
C3,10uF,C_0805_2012Metric,38.934916,-6.885058,90.0,top
C3,10uF,C_0805_2012Metric,92.76,37.8086,90.0,top
C4,100nF,C_0603_1608Metric,36.909163,-48.495374,90.0,top
C4,100nF,C_0603_1608Metric,36.903616,-6.885058,90.0,top
C4,100nF,C_0603_1608Metric,95.3,38.4639,90.0,top
C5,C_Polarized,CP_Radial_D10.0mm_P5.00mm,45.991863,-52.575897,90.0,top
C5,C_Polarized,CP_Radial_D10.0mm_P5.00mm,45.986316,-10.965581,90.0,top
C5,C_Polarized,CP_Radial_D10.0mm_P5.00mm,25.4,25.400023,-90.0,top
C6,C_Polarized,CP_Radial_D10.0mm_P5.00mm,57.191163,-41.348497,90.0,top
C6,C_Polarized,CP_Radial_D10.0mm_P5.00mm,57.185616,0.261819,90.0,top
C6,C_Polarized,CP_Radial_D10.0mm_P5.00mm,38.1,35.467677,90.0,top
C7,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C_0402_1005Metric,26.566463,-46.044474,180.0,top
C7,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C_0402_1005Metric,26.560916,-4.434158,180.0,top
C7,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C_0402_1005Metric,45.3036,28.9794,-90.0,top
C8,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C_0402_1005Metric,28.879263,-46.080574,0.0,top
C8,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C_0402_1005Metric,28.873716,-4.470258,0.0,top
C8,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C_0402_1005Metric,55.2379,22.8684,-90.0,top
D1,LED,LED_0603_1608Metric,22.798675,-31.116048,-90.0,top
D1,LED,LED_0603_1608Metric,22.793128,10.494268,-90.0,top
D1,LED,LED_0603_1608Metric,113.523362,61.677921,90.0,top
D2,LED,LED_0805_2012Metric,20.808675,-31.116048,-90.0,top
D2,LED,LED_0805_2012Metric,20.803128,10.494268,-90.0,top
D2,LED,LED_0805_2012Metric,116.201485,61.484725,90.0,top
D3,LED,LED_0805_2012Metric,18.364254,-31.116048,-90.0,top
