Comment,Designator,Footprint,LCSC
10uF,C3,C_0402_1005Metric,C13585
100nF,"C2,C4",C_0402_1005Metric,C14663
1K,R5,R_1206_3216Metric,C17451
US1A,D4,D_SMA,C183422
C_Polarized,"C5,C6",CP_Radial_D8.0mm_P3.50mm,C225865
LED,D2,LED_0402_1005Metric,C2296
LED,D3,LED_0402_1005Metric,C2297
SANYOU_SRD_Form_C,"K1,K2,K3,K4,K5,K6",Relay_SPDT_SANYOU_SRD_Series_Form_C,C24585
L,L1,L_12x12mm_H8mm,C2983075
LM2596S-5,U1,TO-263-5_TabPin3,C347421
10uF,C1,C_0402_1005Metric,C440198
1K,"R1,R2,R3,R4,R6,R7,R8,R9",R_1206_3216Metric,C4410
Conn_01x02,"AC24-IN1,J1,J2,J3,J4,J5,J6",JWT_A3963_1x02_P3.96mm_Vertical,C474894
ESP32-WROOM-32D,U2,ESP32-WROOM-32D,C529577
AP1117-33,U3,SOT-223-3_TabPin2,C6186
LED,D1,LED_0402_1005Metric,C84256
B140-E3,D5,D_SMA,C968568
Q_NMOS_GDS,"Q1,Q2,Q3,Q4,Q5,Q6",TO-252-2,C98152
PinHeader_1x04_P2.54mm_Vertical,26 27 28 29,PinHeader_1x04_P2.54mm_Vertical,
