Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,109.4575,-64.77,0.0,top
C2,100nF,C_0402_1005Metric,114.3,-63.5,0.0,top
C3,10uF,C_0402_1005Metric,120.17,-63.5,0.0,top
C4,100nF,C_0402_1005Metric,124.46,-67.31,0.0,top
D1,LED,LED_0402_1005Metric,109.7125,-76.39,0.0,top
D2,LED,LED_0402_1005Metric,109.7125,-78.38,0.0,top
D3,LED,LED_0402_1005Metric,109.7125,-80.37,0.0,top
K1,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,37.53,-26.97,0.0,top
K2,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,40.64,-109.22,0.0,top
K3,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,40.22,-129.555,0.0,top
K4,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,40.22,-146.505,0.0,top
K5,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,40.22,-163.455,0.0,top
K6,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,40.22,-180.405,0.0,top
Q1,Q_NMOS_GDS,TO-252-2,102.905,-45.465,0.0,top
Q2,Q_NMOS_GDS,TO-252-2,56.49,-44.355,0.0,top
Q3,Q_NMOS_GDS,TO-252-2,86.395,-142.495,0.0,top
Q4,Q_NMOS_GDS,TO-252-2,55.22,-152.295,0.0,top
Q5,Q_NMOS_GDS,TO-252-2,55.22,-158.745,0.0,top
Q6,Q_NMOS_GDS,TO-252-2,55.88,-166.37,0.0,top
R1,130,R_1206_3216Metric,105.2175,-69.16,0.0,top
R2,130,R_1206_3216Metric,105.2175,-72.45,0.0,top
R3,130,R_1206_3216Metric,105.2175,-75.74,0.0,top
R4,1K,R_1206_3216Metric,101.4075,-22.86,0.0,top
R5,1K,R_1206_3216Metric,66.04,-49.53,0.0,top
R6,1K,R_1206_3216Metric,105.2175,-79.03,0.0,top
R7,1K,R_1206_3216Metric,105.2175,-82.32,0.0,top
R8,1K,R_1206_3216Metric,105.2175,-85.61,0.0,top
R9,1K,R_1206_3216Metric,105.2175,-88.9,0.0,top
U2,ESP32-WROOM-32D,ESP32-WROOM-32D,237.63,-62.86,-90.0,top
U3,AP1117-33,SOT-223-3_TabPin2,72.39,-62.23,0.0,top
